"ann"
"PSAC"	"Encodes the PsaC subunit of photosystem I."
"ATXR6..SDG34"	"Encodes a SET-domain protein, a H3K27 monomethyltransferases required for chromatin structure and gene silencing. Regulates heterochromatic DNA replication.  Contains a PCNA-binding domain.  ATXR6 accumulates preferentially during the late G1 or S phase, suggesting that it plays a role in cell-cycle regulation or progression., Encodes a SET-domain protein, a H3K27 monomethyltransferases required for chromatin structure and gene silencing. Regulates heterochromatic DNA replication.  Contains a PCNA-binding domain.  ATXR6 accumulates preferentially during the late G1 or S phase, suggesting that it plays a role in cell-cycle regulation or progression."
"TET12"	"Member of TETRASPANIN family"
"CYP86B1"	"cytochrome P450 CYP86B1, nuclear gene for chloroplast product.  CYP86B1 is a very long chain fatty acid hydroxylase specifically involved in polyester monomer biosynthesis during the course of plant development."
"ATGSTF12..GST26..GSTF12..TT19"	"Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002). Mutants display no pigments on leaves and stems., Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002). Mutants display no pigments on leaves and stems., Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002). Mutants display no pigments on leaves and stems., Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002). Mutants display no pigments on leaves and stems."
"AtMYB43..MYB43"	"Encodes a putative transcription factor (MYB43)., Encodes a putative transcription factor (MYB43)."
"ATF2..TRXF2"	"Encodes an f-type thioredoxin (Trx-f2) localized in chloroplast stroma., Encodes an f-type thioredoxin (Trx-f2) localized in chloroplast stroma."
"AtMYB40..MYB40"	"Member of the R2R3 factor gene family., Member of the R2R3 factor gene family."
"AGL15"	"AGL15 (AGAMOUS-Like 15) is a member of the MADS domain family of regulatory factors. Although AGL15 is preferentially expressed during embryogenesis, AGL15 is also expressed in leaf primordia, shoot apical meristems and young floral buds, suggesting that AGL15 may play a role during post-germinative development. Transgenic plants that ectopically express AGL15 show delays in the transition to flowering, perianth abscission and senescence and fruit and seed maturation. Role in embryogenesis and gibberellic acid  catabolism. Targets B3 domain transcription factors that are key regulators of embryogenesis."
"AtGH3.12..GDG1..GH3.12..PBS3..WIN3"	"Encodes an enzyme capable of conjugating amino acids to 4-substituted benzoates. 4-HBA (4-hydroxybenzoic acid) and pABA (4-aminobenzoate) may be targets of the enzyme in Arabidopsis, leading to the production of pABA-Glu, 4HBA-Glu, or other related compounds. This enzyme is involved in disease-resistance signaling. It is required for the accumulation of salicylic acid, activation of defense responses, and resistance to Pseudomonas syringae. Salicylic acid can decrease this enzyme's activity in vitro and may act as a competitive inhibitor. Expression of PBS3/GH3.12 can be detected in cotyledons, true leaves, hypocotyls, and occasionally in some parts of roots from 10-day-old seedlings.  No expression has been detected in root, stem, rosette or cauline leaves of mature 4- to 5-week-old plants., Encodes an enzyme capable of conjugating amino acids to 4-substituted benzoates. 4-HBA (4-hydroxybenzoic acid) and pABA (4-aminobenzoate) may be targets of the enzyme in Arabidopsis, leading to the production of pABA-Glu, 4HBA-Glu, or other related compounds. This enzyme is involved in disease-resistance signaling. It is required for the accumulation of salicylic acid, activation of defense responses, and resistance to Pseudomonas syringae. Salicylic acid can decrease this enzyme's activity in vitro and may act as a competitive inhibitor. Expression of PBS3/GH3.12 can be detected in cotyledons, true leaves, hypocotyls, and occasionally in some parts of roots from 10-day-old seedlings.  No expression has been detected in root, stem, rosette or cauline leaves of mature 4- to 5-week-old plants., Encodes an enzyme capable of conjugating amino acids to 4-substituted benzoates. 4-HBA (4-hydroxybenzoic acid) and pABA (4-aminobenzoate) may be targets of the enzyme in Arabidopsis, leading to the production of pABA-Glu, 4HBA-Glu, or other related compounds. This enzyme is involved in disease-resistance signaling. It is required for the accumulation of salicylic acid, activation of defense responses, and resistance to Pseudomonas syringae. Salicylic acid can decrease this enzyme's activity in vitro and may act as a competitive inhibitor. Expression of PBS3/GH3.12 can be detected in cotyledons, true leaves, hypocotyls, and occasionally in some parts of roots from 10-day-old seedlings.  No expression has been detected in root, stem, rosette or cauline leaves of mature 4- to 5-week-old plants., Encodes an enzyme capable of conjugating amino acids to 4-substituted benzoates. 4-HBA (4-hydroxybenzoic acid) and pABA (4-aminobenzoate) may be targets of the enzyme in Arabidopsis, leading to the production of pABA-Glu, 4HBA-Glu, or other related compounds. This enzyme is involved in disease-resistance signaling. It is required for the accumulation of salicylic acid, activation of defense responses, and resistance to Pseudomonas syringae. Salicylic acid can decrease this enzyme's activity in vitro and may act as a competitive inhibitor. Expression of PBS3/GH3.12 can be detected in cotyledons, true leaves, hypocotyls, and occasionally in some parts of roots from 10-day-old seedlings.  No expression has been detected in root, stem, rosette or cauline leaves of mature 4- to 5-week-old plants., Encodes an enzyme capable of conjugating amino acids to 4-substituted benzoates. 4-HBA (4-hydroxybenzoic acid) and pABA (4-aminobenzoate) may be targets of the enzyme in Arabidopsis, leading to the production of pABA-Glu, 4HBA-Glu, or other related compounds. This enzyme is involved in disease-resistance signaling. It is required for the accumulation of salicylic acid, activation of defense responses, and resistance to Pseudomonas syringae. Salicylic acid can decrease this enzyme's activity in vitro and may act as a competitive inhibitor. Expression of PBS3/GH3.12 can be detected in cotyledons, true leaves, hypocotyls, and occasionally in some parts of roots from 10-day-old seedlings.  No expression has been detected in root, stem, rosette or cauline leaves of mature 4- to 5-week-old plants."
"ATMYB46..MYB46"	"Member of the R2R3 factor gene family., Member of the R2R3 factor gene family."
"ATMYB64..ATMYB92..MYB92"	"Encodes a putative transcription factor (MYB92)., Encodes a putative transcription factor (MYB92)., Encodes a putative transcription factor (MYB92)."
"ATMIPS3..MIPS3"	"myo-inositol-1-phosphate synthase isoform 3.Expressed in leaf, root and silique. Immunolocaliazation experiments with an antibody recognizing MIPS1, MIPS2, and MIPS3 showed endosperm localization., myo-inositol-1-phosphate synthase isoform 3.Expressed in leaf, root and silique. Immunolocaliazation experiments with an antibody recognizing MIPS1, MIPS2, and MIPS3 showed endosperm localization."
"ANN7..ANNAT7"	"Encodes a calcium-binding protein annexin (AnnAt7)., Encodes a calcium-binding protein annexin (AnnAt7)."
"ATBX3..ATBXL3..BX3..BXL3..XYL3"	"encodes a protein similar to a beta-xylosidase located in the extracellular matrix. This is a member of glycosyl hydrolase family 3 and has six other closely related members., encodes a protein similar to a beta-xylosidase located in the extracellular matrix. This is a member of glycosyl hydrolase family 3 and has six other closely related members., encodes a protein similar to a beta-xylosidase located in the extracellular matrix. This is a member of glycosyl hydrolase family 3 and has six other closely related members., encodes a protein similar to a beta-xylosidase located in the extracellular matrix. This is a member of glycosyl hydrolase family 3 and has six other closely related members., encodes a protein similar to a beta-xylosidase located in the extracellular matrix. This is a member of glycosyl hydrolase family 3 and has six other closely related members."
"HAT14"	"Homeobox-leucine zipper protein."
"CBB3..CPD..CYP90..CYP90A..CYP90A1..DWF3"	"Encodes a member of the CP90A family, a cytochrome P450 monooxygenase which converts 6-deoxocathasterone to 6-deoxoteasterone in the late C6 oxidation pathway and cathasterone to teasterone in the early C6 oxidation pathway of brassinolide biosynthesis.  Expressed in cotyledons and leaves. Mutants display de-etiolation and derepression of light-induced genes in the dark, dwarfism, male sterility and activation of stress-regulated genes in the light. The expression of the gene using a CPD promoter:LUC fusion construct was shown to be under circadian and light control. Additionally, the circadian regulation was shown to be independent of BR levels as it remains unchanged in <i>bri1</i> mutant lines. CPD appears to be involved in the autonomous pathway that regulates the transition to flowering, primarily through a BRI1-mediated signaling pathway that affects FLC expression levels, as uncovered by double mutant analyses., Encodes a member of the CP90A family, a cytochrome P450 monooxygenase which converts 6-deoxocathasterone to 6-deoxoteasterone in the late C6 oxidation pathway and cathasterone to teasterone in the early C6 oxidation pathway of brassinolide biosynthesis.  Expressed in cotyledons and leaves. Mutants display de-etiolation and derepression of light-induced genes in the dark, dwarfism, male sterility and activation of stress-regulated genes in the light. The expression of the gene using a CPD promoter:LUC fusion construct was shown to be under circadian and light control. Additionally, the circadian regulation was shown to be independent of BR levels as it remains unchanged in <i>bri1</i> mutant lines. CPD appears to be involved in the autonomous pathway that regulates the transition to flowering, primarily through a BRI1-mediated signaling pathway that affects FLC expression levels, as uncovered by double mutant analyses., Encodes a member of the CP90A family, a cytochrome P450 monooxygenase which converts 6-deoxocathasterone to 6-deoxoteasterone in the late C6 oxidation pathway and cathasterone to teasterone in the early C6 oxidation pathway of brassinolide biosynthesis.  Expressed in cotyledons and leaves. Mutants display de-etiolation and derepression of light-induced genes in the dark, dwarfism, male sterility and activation of stress-regulated genes in the light. The expression of the gene using a CPD promoter:LUC fusion construct was shown to be under circadian and light control. Additionally, the circadian regulation was shown to be independent of BR levels as it remains unchanged in <i>bri1</i> mutant lines. CPD appears to be involved in the autonomous pathway that regulates the transition to flowering, primarily through a BRI1-mediated signaling pathway that affects FLC expression levels, as uncovered by double mutant analyses., Encodes a member of the CP90A family, a cytochrome P450 monooxygenase which converts 6-deoxocathasterone to 6-deoxoteasterone in the late C6 oxidation pathway and cathasterone to teasterone in the early C6 oxidation pathway of brassinolide biosynthesis.  Expressed in cotyledons and leaves. Mutants display de-etiolation and derepression of light-induced genes in the dark, dwarfism, male sterility and activation of stress-regulated genes in the light. The expression of the gene using a CPD promoter:LUC fusion construct was shown to be under circadian and light control. Additionally, the circadian regulation was shown to be independent of BR levels as it remains unchanged in <i>bri1</i> mutant lines. CPD appears to be involved in the autonomous pathway that regulates the transition to flowering, primarily through a BRI1-mediated signaling pathway that affects FLC expression levels, as uncovered by double mutant analyses., Encodes a member of the CP90A family, a cytochrome P450 monooxygenase which converts 6-deoxocathasterone to 6-deoxoteasterone in the late C6 oxidation pathway and cathasterone to teasterone in the early C6 oxidation pathway of brassinolide biosynthesis.  Expressed in cotyledons and leaves. Mutants display de-etiolation and derepression of light-induced genes in the dark, dwarfism, male sterility and activation of stress-regulated genes in the light. The expression of the gene using a CPD promoter:LUC fusion construct was shown to be under circadian and light control. Additionally, the circadian regulation was shown to be independent of BR levels as it remains unchanged in <i>bri1</i> mutant lines. CPD appears to be involved in the autonomous pathway that regulates the transition to flowering, primarily through a BRI1-mediated signaling pathway that affects FLC expression levels, as uncovered by double mutant analyses., Encodes a member of the CP90A family, a cytochrome P450 monooxygenase which converts 6-deoxocathasterone to 6-deoxoteasterone in the late C6 oxidation pathway and cathasterone to teasterone in the early C6 oxidation pathway of brassinolide biosynthesis.  Expressed in cotyledons and leaves. Mutants display de-etiolation and derepression of light-induced genes in the dark, dwarfism, male sterility and activation of stress-regulated genes in the light. The expression of the gene using a CPD promoter:LUC fusion construct was shown to be under circadian and light control. Additionally, the circadian regulation was shown to be independent of BR levels as it remains unchanged in <i>bri1</i> mutant lines. CPD appears to be involved in the autonomous pathway that regulates the transition to flowering, primarily through a BRI1-mediated signaling pathway that affects FLC expression levels, as uncovered by double mutant analyses."
"LAC12"	"putative laccase,  a member of laccase family of genes (17 members in Arabidopsis)."
"JKD"	"JKD is a nuclear-localized putative transcription factor with three zinc finger domains. jkd mutants show a number of root patterning defects including ectopic periclinal divisions in the cortex, increased cell numbers in the cortical and epidermal layers, a disrupted QC marker expression pattern, and disorganized QC and columella cells. jkd mutants also have a reduced number of meristematic cells in their roots. JKD can interact with the SCR and SHR proteins implicated in root patterning, as well as another zinc finger transcription factor, MAGPIE. All of these interactions require the first zinc finger in JKD according to a Y2H assay. There are also transcriptional interactions among these proteins. The initiation of JKD transcription does not appear to depend on SCR and SHR, but later expression in the post-embryonic QC cells and ground tissue initials is reduced in scr and shr mutants. JKD also appears to be required for SCR transcription beginning in the embryo. There is also some evidence that JKD plays a role in promoting the movement of SHR into the nucleus, particularly in QC cells, but this may be indirect."
"GSTL1"	"Encodes a member of the lambda family of glutathione transferases. It has thiol transferase activity and self S-glutathionylation activity in vitro."
"LecRK.VI.4..LECRKA4.3"	"Encodes LecRKA4.3, a member of the lectin receptor kinase subfamily A4 (LecRKA4.1 At5g01540; LecRKA4.2 At5g01550; LecRKA4.3 At5g01560).  Together with other members of the subfamily, functions redundantly in the negative regulation of ABA response in seed germination., Encodes LecRKA4.3, a member of the lectin receptor kinase subfamily A4 (LecRKA4.1 At5g01540; LecRKA4.2 At5g01550; LecRKA4.3 At5g01560).  Together with other members of the subfamily, functions redundantly in the negative regulation of ABA response in seed germination."
"LAC10"	"putative laccase,  a member of laccase family of genes (17 members in Arabidopsis)."
"CSP41A"	"Encodes a protein with ribonuclease activity that is involved in plastid rRNA maturation."
"FKD1"	"Encodes a pleckstrin homology domain- and DUF828-containing protein. Mutants have defects in leaf vascular pattering, with vascular bundles that fail to meet distally in both the cotyledons and leaves. Necessary to the formation of the closed leaf vascular pattern characteristic of dicot leaves in response to auxin. Redundant with FKD2. FKD1 may influence PIN1 localization in an auxin dependent  manner. proposed to be a key component of the auxin canalization pathway."
"ATCKX6..ATCKX7..CKX6"	"This gene used to be called AtCKX7. It encodes a protein whose sequence is similar to cytokinin oxidase/dehydrogenase, which catalyzes the degradation of cytokinins., This gene used to be called AtCKX7. It encodes a protein whose sequence is similar to cytokinin oxidase/dehydrogenase, which catalyzes the degradation of cytokinins., This gene used to be called AtCKX7. It encodes a protein whose sequence is similar to cytokinin oxidase/dehydrogenase, which catalyzes the degradation of cytokinins."
"ATL5"	"Encodes a RING-H2 zinc finger protein related to ATL2. The ATL gene family is represented by fifteen sequences that contain, in addition to the RING, a transmembrane domain which is located in most of them towards the N-terminal end."
"CP12..CP12.2"	"CP12-2 encodes a small peptide found in the chloroplast stroma. It belongs to the CP12 gene family thought to be involved in the formation of a supramolecular complex with glyceraldehyde-3-phosphate dehydrogenase (GAPDH) and phosphoribulokinase (PRK) embedded in the Calvin cycle. CP12-2 is coordinately regulated by light with the photosynthetic GAPDH and PRK. The annotation of this gene is based on article 32494., CP12-2 encodes a small peptide found in the chloroplast stroma. It belongs to the CP12 gene family thought to be involved in the formation of a supramolecular complex with glyceraldehyde-3-phosphate dehydrogenase (GAPDH) and phosphoribulokinase (PRK) embedded in the Calvin cycle. CP12-2 is coordinately regulated by light with the photosynthetic GAPDH and PRK. The annotation of this gene is based on article 32494."
"PIF6..PIL2"	"encodes a novel Myc-related bHLH transcription factor, which physically associated with APRR1/TOC1 and is a member of PIF3 transcription factor family., encodes a novel Myc-related bHLH transcription factor, which physically associated with APRR1/TOC1 and is a member of PIF3 transcription factor family."
"GUN4"	"GUN, genomes uncoupled, is necessary for coupling the expression of some  nuclear genes to the functional state of the chloroplast. Binds to the magnesium chelatase complex and  promotes formation of the substrate,a tetrapyrrole signaling molecule. Porphyrin-binding protein  that enhances the activity of Mg-chelatase. Although required  for chlorophyll accumulation under normal  growth conditions, GUN4 is not essential  for chlorophyll synthesis."
"AGL1..SHP1"	"One of two genes (SHP1 and SHP2) that are required for fruit dehiscence. The two genes control dehiscence zone differentiation and promote the lignification of adjacent cells., One of two genes (SHP1 and SHP2) that are required for fruit dehiscence. The two genes control dehiscence zone differentiation and promote the lignification of adjacent cells."
"ASL16..LBD29"	"This gene contains two auxin-responsive element (AuxRE)., This gene contains two auxin-responsive element (AuxRE)."
"RTM3"	"Encodes RTM3 (Restricted Tobacco etch potyvirus Movement), a protein belonging to a protein family of 29 members which has a meprin and TRAF homology (MATH) domain in its N-terminal region and a coiled-coil (CC) domain at its C-terminal end.  There are at least three RTMs in Arabidopsis.  RTM proteins might form a multiprotein complex in the resistance mechanism to block the long distance movement of potyviruses."
"BHLH039..bHLH39..ORG3"	"Encodes a member of the basic helix-loop-helix transcription factor protein., Encodes a member of the basic helix-loop-helix transcription factor protein., Encodes a member of the basic helix-loop-helix transcription factor protein."
"SBPASE"	"Encodes the chloroplast enzyme sedoheptulose-1,7-bisphosphatase (SBPase), involved in the carbon reduction of the Calvin cycle. Increase in SBPase activity in transgenic lines accumulate up to 50% more sucrose and starch than wild-type."
"OBP3"	"Encodes a nuclear localized Dof domain containing transcription factor expressed primarily in roots. Responsive to salicylic acid. Transgenic overexpressors have yellow leaves and short, defective roots."
"HCEF1"	"Encodes HCEF1 (High Cyclic Electron Flow 1).  Mutant phenotype: constitutively elevated electron flow (CEFI)."
"AP3..ATAP3"	"Floral homeotic gene encoding a MADS domain protein homologous to SRF transcription factors. Specifies petal and stamen identities. Associates with PISTILLATA., Floral homeotic gene encoding a MADS domain protein homologous to SRF transcription factors. Specifies petal and stamen identities. Associates with PISTILLATA."
"ATCHX20..CHX20"	"member of Putative Na+/H+ antiporter family.  Involved in the osmoregulation through K(+) fluxes and possibly pH modulation of an active endomembrane system in guard cells., member of Putative Na+/H+ antiporter family.  Involved in the osmoregulation through K(+) fluxes and possibly pH modulation of an active endomembrane system in guard cells."
"ZPR3"	"ZPR3 is a small-leucine zipper containing protein that is involved in the establishment of leaf polarity."
"GATA18..HAN..MNP"	"Encodes a GATA factort transcriptional regulator required to position the proembryo boundary in the early embryo., Encodes a GATA factort transcriptional regulator required to position the proembryo boundary in the early embryo., Encodes a GATA factort transcriptional regulator required to position the proembryo boundary in the early embryo."
"OEC33..PSBO.2..PSBO2"	"Encodes a protein which is an extrinsic subunit of photosystem II and which has been proposed to play a central role in stabilization of the catalytic manganese cluster. In <i>Arabidopsis thaliana</i> the PsbO proteins are encoded by two genes: <i>psbO1</i> and <i>psbO2</i>. PsbO2 is the minor isoform in the wild-type. Mutants defective in this gene have been shown to be affected in the dephosphorylation of the D1 protein of PSII., Encodes a protein which is an extrinsic subunit of photosystem II and which has been proposed to play a central role in stabilization of the catalytic manganese cluster. In <i>Arabidopsis thaliana</i> the PsbO proteins are encoded by two genes: <i>psbO1</i> and <i>psbO2</i>. PsbO2 is the minor isoform in the wild-type. Mutants defective in this gene have been shown to be affected in the dephosphorylation of the D1 protein of PSII., Encodes a protein which is an extrinsic subunit of photosystem II and which has been proposed to play a central role in stabilization of the catalytic manganese cluster. In <i>Arabidopsis thaliana</i> the PsbO proteins are encoded by two genes: <i>psbO1</i> and <i>psbO2</i>. PsbO2 is the minor isoform in the wild-type. Mutants defective in this gene have been shown to be affected in the dephosphorylation of the D1 protein of PSII."
"ATMES10..MES10"	"Encodes a protein shown to have methyl jasmonate esterase activity in vitro. This protein does not act on methyl IAA, MeSA, MeGA4, or MEGA9 in vitro., Encodes a protein shown to have methyl jasmonate esterase activity in vitro. This protein does not act on methyl IAA, MeSA, MeGA4, or MEGA9 in vitro."
"HR4"	"Homolog of RPW8"
"UGT72E1"	"UGT72E1 is an UDPG:coniferyl alcohol glucosyltransferase which specifically glucosylates sinapyl- and coniferyl aldehydes. The enzyme is thought to be involved in lignin metabolism."
"KICP.02"	"Encodes a kinesin-related protein."
"ATMYB84..MYB84..RAX3"	"Putative homolog of the Blind gene in tomato. Together with RAX1 and RAX3 belong to the class R2R3 MYB genes; encoded by the Myb-like transcription factor MYB84, regulates axillary meristem formation. , Putative homolog of the Blind gene in tomato. Together with RAX1 and RAX3 belong to the class R2R3 MYB genes; encoded by the Myb-like transcription factor MYB84, regulates axillary meristem formation. , Putative homolog of the Blind gene in tomato. Together with RAX1 and RAX3 belong to the class R2R3 MYB genes; encoded by the Myb-like transcription factor MYB84, regulates axillary meristem formation. "
"DIN11"	"encodes a protein similar to 2-oxoacid-dependent dioxygenase. Expression is induced after 24 hours of dark treatment, in senescing leaves and treatment with exogenous photosynthesis inhibitor. Induction of gene expression was suppressed in excised leaves supplied with sugar. The authors suggest that the gene's expression pattern is responding to the level of sugar in the cell."
"ACS9..AtACS9..ETO3"	"encodes a a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC 4.4.1.14) gene family.  Mutants produce elevated levels of ethylene as etiolated seedlings., encodes a a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC 4.4.1.14) gene family.  Mutants produce elevated levels of ethylene as etiolated seedlings., encodes a a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC 4.4.1.14) gene family.  Mutants produce elevated levels of ethylene as etiolated seedlings."
"ABCA3..ATATH2..ATH2"	"member of ATH subfamily, member of ATH subfamily, member of ATH subfamily"
"ABCA6..ATATH5..ATH5"	"member of ATH subfamily, member of ATH subfamily, member of ATH subfamily"
"AtTCP14..TCP14"	"Encodes a transcription factor AtTCP14 that regulates seed germination.  AtTCP14 shows elevated expression level just prior to germination.  AtTCP14 is predominantly expressed in the vascular tissue of the embryo, and affects gene expression in radicles in a non-cell-autonomous manner., Encodes a transcription factor AtTCP14 that regulates seed germination.  AtTCP14 shows elevated expression level just prior to germination.  AtTCP14 is predominantly expressed in the vascular tissue of the embryo, and affects gene expression in radicles in a non-cell-autonomous manner."
"JK224..NPH1..PHOT1..RPT1"	"Blue-light photoreceptor. Contains a light activated serine-threonine kinase domain and LOV1 and LOV2 repeats. Mutants are defective in blue-light response. Mediates blue light-induced growth enhancements. PHOT1 and PHOT2 mediate blue light-dependent  activation of the plasma membrane H+-ATPase in guard cell protoplasts. PHOT1 undergoes blue-light-dependent autophosphorylation. At least eight phosphorylation sites have been identified in PHOT1. Phosphorylation of serine851 in the activation loop of PHOT1 appears to be required for stomatal opening, chloroplast accumulation, leaf flattening, and phototropism, and phosphorylation of serine849 may also contribute to the regulation of these responses. Phosphorylation-dependent binding of 14-3-3 proteins to the Hinge1 region of PHOT1 appears to require serine350 and serine376., Blue-light photoreceptor. Contains a light activated serine-threonine kinase domain and LOV1 and LOV2 repeats. Mutants are defective in blue-light response. Mediates blue light-induced growth enhancements. PHOT1 and PHOT2 mediate blue light-dependent  activation of the plasma membrane H+-ATPase in guard cell protoplasts. PHOT1 undergoes blue-light-dependent autophosphorylation. At least eight phosphorylation sites have been identified in PHOT1. Phosphorylation of serine851 in the activation loop of PHOT1 appears to be required for stomatal opening, chloroplast accumulation, leaf flattening, and phototropism, and phosphorylation of serine849 may also contribute to the regulation of these responses. Phosphorylation-dependent binding of 14-3-3 proteins to the Hinge1 region of PHOT1 appears to require serine350 and serine376., Blue-light photoreceptor. Contains a light activated serine-threonine kinase domain and LOV1 and LOV2 repeats. Mutants are defective in blue-light response. Mediates blue light-induced growth enhancements. PHOT1 and PHOT2 mediate blue light-dependent  activation of the plasma membrane H+-ATPase in guard cell protoplasts. PHOT1 undergoes blue-light-dependent autophosphorylation. At least eight phosphorylation sites have been identified in PHOT1. Phosphorylation of serine851 in the activation loop of PHOT1 appears to be required for stomatal opening, chloroplast accumulation, leaf flattening, and phototropism, and phosphorylation of serine849 may also contribute to the regulation of these responses. Phosphorylation-dependent binding of 14-3-3 proteins to the Hinge1 region of PHOT1 appears to require serine350 and serine376., Blue-light photoreceptor. Contains a light activated serine-threonine kinase domain and LOV1 and LOV2 repeats. Mutants are defective in blue-light response. Mediates blue light-induced growth enhancements. PHOT1 and PHOT2 mediate blue light-dependent  activation of the plasma membrane H+-ATPase in guard cell protoplasts. PHOT1 undergoes blue-light-dependent autophosphorylation. At least eight phosphorylation sites have been identified in PHOT1. Phosphorylation of serine851 in the activation loop of PHOT1 appears to be required for stomatal opening, chloroplast accumulation, leaf flattening, and phototropism, and phosphorylation of serine849 may also contribute to the regulation of these responses. Phosphorylation-dependent binding of 14-3-3 proteins to the Hinge1 region of PHOT1 appears to require serine350 and serine376."
"ATSYP72..SYP72"	"syntaxin of plants 72 (SYP72), syntaxin of plants 72 (SYP72)"
"ATLOX2..LOX2"	"Chloroplast lipoxygenase required for wound-induced jasmonic acid accumulation in Arabidopsis.Mutants are resistant to Staphylococcus aureus and accumulate salicylic acid upon infection., Chloroplast lipoxygenase required for wound-induced jasmonic acid accumulation in Arabidopsis.Mutants are resistant to Staphylococcus aureus and accumulate salicylic acid upon infection."
"FAR4"	"Encodes a member of the eight-member gene family encoding alcohol-forming fatty acyl-CoA reductases (FARs) identified in Arabidopsis thaliana.  Three of the FARs, FAR1 (At5g22500), FAR4 (At3g44540) and FAR5 (At3g44550), are shown to generate the fatty alcohols found in root, seed coat, and wound-induced leaf tissue."
"FAR5"	"Encodes a member of the eight-member gene family encoding alcohol-forming fatty acyl-CoA reductases (FARs) identified in Arabidopsis thaliana.  Three of the FARs, FAR1 (At5g22500), FAR4 (At3g44540) and FAR5 (At3g44550), are shown to generate the fatty alcohols found in root, seed coat, and wound-induced leaf tissue."
"AtbZIP67..DPBF2"	"basic leucine zipper transcription factor (BZIP67), identical to basic leucine zipper transcription factor GI:18656053 from (Arabidopsis thaliana); identical to cDNA basic leucine zipper transcription factor (atbzip67 gene) GI:18656052.  Located in the nucleus and expressed during seed maturation in the cotyledons., basic leucine zipper transcription factor (BZIP67), identical to basic leucine zipper transcription factor GI:18656053 from (Arabidopsis thaliana); identical to cDNA basic leucine zipper transcription factor (atbzip67 gene) GI:18656052.  Located in the nucleus and expressed during seed maturation in the cotyledons."
"AtFBA2..FBA2"	"Protein is tyrosine-phosphorylated and its phosphorylation state is modulated in response to ABA in Arabidopsis thaliana seeds., Protein is tyrosine-phosphorylated and its phosphorylation state is modulated in response to ABA in Arabidopsis thaliana seeds."
"ATMYB4..MYB4"	"Encodes a R2R3 MYB protein which is involved in the response to UV-B.  It functions as a repressor of target gene expression.  One of its target genes encodes cinnamate 4-hydroxylase; mutants accumulate sinapate esters in their leaves. MYB4 binds to its own promoter and represses its own expression. Nuclear localization of MYB4 depends on the action of the beta importin SAD2., Encodes a R2R3 MYB protein which is involved in the response to UV-B.  It functions as a repressor of target gene expression.  One of its target genes encodes cinnamate 4-hydroxylase; mutants accumulate sinapate esters in their leaves. MYB4 binds to its own promoter and represses its own expression. Nuclear localization of MYB4 depends on the action of the beta importin SAD2."
"CYC1..CYCB1..CYCB1.1"	"Cyclin-dependent protein kinase CYCB1;1. Functions as an effector of growth control at G2/M. Regulated by TCP20., Cyclin-dependent protein kinase CYCB1;1. Functions as an effector of growth control at G2/M. Regulated by TCP20., Cyclin-dependent protein kinase CYCB1;1. Functions as an effector of growth control at G2/M. Regulated by TCP20."
"SGR7..SHR"	"Involved in radial organization of the root and shoot axial organs. Essential for normal shoot gravitropism. The protein moves in a highly specific manner from the cells of the stele in which it is synthesized outward. Movement requires sequences within the GRAS and VHIID domains., Involved in radial organization of the root and shoot axial organs. Essential for normal shoot gravitropism. The protein moves in a highly specific manner from the cells of the stele in which it is synthesized outward. Movement requires sequences within the GRAS and VHIID domains."
"ATMYB87..MYB87"	"encoded by the Myb-like transcription factor MYB87, regulates axillary meristem formation, expressed throughout the plant. Member of the R2R3 factor gene family., encoded by the Myb-like transcription factor MYB87, regulates axillary meristem formation, expressed throughout the plant. Member of the R2R3 factor gene family."
"ANAC076..NAC076..VND2"	"Encodes a NAC-domain transcription factor. Expressed in the vascular tissue., Encodes a NAC-domain transcription factor. Expressed in the vascular tissue., Encodes a NAC-domain transcription factor. Expressed in the vascular tissue."
"CYP84A1..FAH1"	"encodes ferulate 5-hydroxylase (F5H). Involved in lignin biosynthesis., encodes ferulate 5-hydroxylase (F5H). Involved in lignin biosynthesis."
"DRL1..TKPR1"	"Encodes DRL1 (Dihydroflavonol 4-reductase-like1), a closely related homolog of the rice anther-specific gene OsDFR2.  DRL1 may be involved in a metabolic pathway essential for pollen wall development and male fertility.  Mutant plants have impaired pollen formation and seed production., Encodes DRL1 (Dihydroflavonol 4-reductase-like1), a closely related homolog of the rice anther-specific gene OsDFR2.  DRL1 may be involved in a metabolic pathway essential for pollen wall development and male fertility.  Mutant plants have impaired pollen formation and seed production."
"GATA3"	"Encodes a member of the GATA factor family of zinc finger transcription factors."
"SQS2"	"Encodes a protein with similarity to squalene synthase which catalyzes the first committed step in sterol biosynthesis. To date no experimental evidence exists that SQS2 functions as a squalene synthase and some experiments indicate it does not have this function."
